Total number of ICMP messages: 3 [0.00%]

Number of ICMPv6 packets: 3 [0.00%]


# ICMP Type	Code	Packets	Percentage
ICMP_ECHOREQUEST	-	0	 -nan
ICMP_ECHOREPLY	-	0	 -nan
ICMP_SOURCE_QUENCH	-	0	 -nan
ICMP_TRACEROUTE	-	0	 -nan
ICMP_DEST_UNREACH	ICMP_NET_UNREACH	0	 -nan
ICMP_DEST_UNREACH	ICMP_HOST_UNREACH	0	 -nan
ICMP_DEST_UNREACH	ICMP_PROT_UNREACH	0	 -nan
ICMP_DEST_UNREACH	ICMP_PORT_UNREACH	0	 -nan
ICMP_DEST_UNREACH	ICMP_FRAG_NEEDED	0	 -nan
ICMP_DEST_UNREACH	ICMP_SR_FAILED	0	 -nan
ICMP_DEST_UNREACH	ICMP_NET_UNKNOWN	0	 -nan
ICMP_DEST_UNREACH	ICMP_HOST_UNKNOWN	0	 -nan
ICMP_DEST_UNREACH	ICMP_HOST_ISOLATED	0	 -nan
ICMP_DEST_UNREACH	ICMP_NET_ANO	0	 -nan
ICMP_DEST_UNREACH	ICMP_HOST_ANO	0	 -nan
ICMP_DEST_UNREACH	ICMP_NET_UNR_TOS	0	 -nan
ICMP_DEST_UNREACH	ICMP_HOST_UNR_TOS	0	 -nan
ICMP_DEST_UNREACH	ICMP_PKT_FILTERED	0	 -nan
ICMP_DEST_UNREACH	ICMP_PREC_VIOLATION	0	 -nan
ICMP_DEST_UNREACH	ICMP_PREC_CUTOFF	0	 -nan
ICMP_REDIRECT	ICMP_REDIR_NET	0	 -nan
ICMP_REDIRECT	ICMP_REDIR_HOST	0	 -nan
ICMP_REDIRECT	ICMP_REDIR_NETTOS	0	 -nan
ICMP_REDIRECT	ICMP_REDIR_HOSTTOS	0	 -nan
ICMP_TIME_EXCEEDED	ICMP_EXC_TTL	0	 -nan
ICMP_TIME_EXCEEDED	ICMP_EXC_FRAGTIME	0	 -nan

# ICMPv6 Type	Code	Packets	Percentage
ICMP6_ECHOREQUEST	-	0	0.000
ICMP6_ECHOREPLY	-	0	0.000
ICMP6_PKT_TOO_BIG	-	0	0.000
ICMP6_DEST_UNREACH	ICMP6_NO_ROUTE	0	0.000
ICMP6_DEST_UNREACH	ICMP6_COMM_PROHIBIT	0	0.000
ICMP6_DEST_UNREACH	ICMP6_BEYOND_SCOPE	0	0.000
ICMP6_DEST_UNREACH	ICMP6_ADDR_UNREACH	0	0.000
ICMP6_DEST_UNREACH	ICMP6_PORT_UNREACH	0	0.000
ICMP6_DEST_UNREACH	ICMP6_SR_FAILED	0	0.000
ICMP6_DEST_UNREACH	ICMP6_REJECT	0	0.000
ICMP6_DEST_UNREACH	ICMP6_ERROR_HDR	0	0.000
ICMP6_TIME_EXCEEDED	ICMP6_EXC_HOPS	0	0.000
ICMP6_TIME_EXCEEDED	ICMP6_EXC_FRAGTIME	0	0.000
ICMP6_PARAM_PROBLEM	ICMP6_ERR_HDR	0	0.000
ICMP6_PARAM_PROBLEM	ICMP6_UNRECO_NEXT_HDR	0	0.000
ICMP6_PARAM_PROBLEM	ICMP6_UNRECO_IP6_OPT	0	0.000
ICMP6_NBOR_ADVERT	-	3	100.000
