#num	clst	ipv	ip	tcp	qopt	ittl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
1	0x0a	0x00	0x40	0x02	0x0040	64	0	0	20,10	5	0x02,0x04,0x08,0x01,0x03	0	2	2	22	unix	Linux	3.11 and newer		 Linux
2	0x0a	0x00	0x40	0x02	0x0040	64	0	0	20,7	5	0x02,0x04,0x08,0x01,0x03	0	2	2	22	unix	Linux	3.11 and newer		 Linux
3	0x0a	0x00	0x40	0x02	0x0040	64	0	0	10,4	5	0x02,0x04,0x08,0x01,0x03	0	2	2	23	unix	Linux	3.1-3.10		 Linux
4	0x0a	0x00	0x40	0x02	0x0040	64	0	0	10,5	5	0x02,0x04,0x08,0x01,0x03	0	2	2	23	unix	Linux	3.1-3.10		 Linux
5	0x0a	0x00	0x40	0x02	0x0040	64	0	0	10,6	5	0x02,0x04,0x08,0x01,0x03	0	2	2	23	unix	Linux	3.1-3.10		 Linux
6	0x0a	0x00	0x40	0x02	0x0040	64	0	0	10,7	5	0x02,0x04,0x08,0x01,0x03	0	2	2	23	unix	Linux	3.1-3.10		 Linux
7	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,6	5	0x02,0x04,0x08,0x01,0x03	0	2	2	19	unix	Linux	2.6.x		 so not I'm not flagging these signatures in a special way.
8	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,7	5	0x02,0x04,0x08,0x01,0x03	0	2	2	19	unix	Linux	2.6.x		 so not I'm not flagging these signatures in a special way.
9	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,8	5	0x02,0x04,0x08,0x01,0x03	0	2	2	19	unix	Linux	2.6.x		 so not I'm not flagging these signatures in a special way.
10	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	16	unix	Linux	2.4.x		 so not I'm not flagging these signatures in a special way.
11	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,1	5	0x02,0x04,0x08,0x01,0x03	0	2	2	16	unix	Linux	2.4.x		 so not I'm not flagging these signatures in a special way.
12	0x0a	0x00	0x40	0x02	0x0040	64	0	0	4,2	5	0x02,0x04,0x08,0x01,0x03	0	2	2	16	unix	Linux	2.4.x		 so not I'm not flagging these signatures in a special way.
13	0x0a	0x00	0x40	0x02	0x0040	64	0	0	11,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	10	unix	Linux	2.2.x		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
14	0x0a	0x00	0x40	0x02	0x0040	64	0	0	20,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	10	unix	Linux	2.2.x		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
15	0x0a	0x00	0x40	0x02	0x0040	64	0	0	22,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	10	unix	Linux	2.2.x		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
16	0x0a	0x00	0x00	0x02	0x0000	64	0	0	12,0	1	0x02	0	2	2	9	unix	Linux	2.0		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
17	0x08	0x00	0x00	0x02	0x0000	64	0	0	16384,0	1	0x02	0	2	2	9	unix	Linux	2.0		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
18	0x02	0x00	0x40	0x02	0x0040	64	0	16396	524672,4	5	0x02,0x04,0x08,0x01,0x03	0	2	2	26	unix	Linux	3.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
19	0x02	0x00	0x40	0x02	0x0040	64	0	16376	524032,4	5	0x02,0x04,0x08,0x01,0x03	0	2	2	26	unix	Linux	3.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
20	0x02	0x00	0x40	0x02	0x0040	64	0	16396	131168,2	5	0x02,0x04,0x08,0x01,0x03	0	2	2	21	unix	Linux	2.6.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
21	0x02	0x00	0x40	0x02	0x0040	64	0	16376	131008,2	5	0x02,0x04,0x08,0x01,0x03	0	2	2	21	unix	Linux	2.6.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
22	0x02	0x00	0x40	0x02	0x0040	64	0	16396	32792,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	18	unix	Linux	2.4.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
23	0x02	0x00	0x40	0x02	0x0040	64	0	3884	31072,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	14	unix	Linux	2.2.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
24	0x02	0x04	0x00	0x02	0x0000	64	0	1430	366080,6	5	0x02,0x04,0x08,0x01,0x03	0	2	2	20	unix	Linux	2.6.x (Google crawler)		 Various distinctive flavors of Linux:
25	0x0a	0x00	0x40	0x02	0x0040	64	0	0	44,1	5	0x02,0x04,0x08,0x01,0x03	0	2	2	39	unix	Linux	(Android)		 Various distinctive flavors of Linux:
26	0x0a	0x00	0x40	0x02	0x0040	64	0	0	44,3	5	0x02,0x04,0x08,0x01,0x03	0	2	2	39	unix	Linux	(Android)		 Various distinctive flavors of Linux:
