#	3	21062019
# IP CIDR	IP range	CtryWhoCode	ASN	Uncert	Latitude	Longitude	WhoCntry	Org
# Begin IPv6 private address space
2001:12a0::/32	2001:12a0::-2001:12a0:ffff:ffff:ffff:ffff:ffff:ffff	0x20000a83	28292	70.0	-28.677500	-49.369720	br	ENGEPLUS INFORMATICA LTDA
2001:12a4::/32	2001:12a4::-2001:12a4:ffff:ffff:ffff:ffff:ffff:ffff	0x20000f56	28346	70.0	-12.971110	-38.510830	br	IB TELECOMUNICAÇÕES LTDA
2001:12ac::/32	2001:12ac::-2001:12ac:ffff:ffff:ffff:ffff:ffff:ffff	0x20001801	28362	70.0	-19.865280	-47.440000	br	Onda Internet
2001:12b0::/32	2001:12b0::-2001:12b0:ffff:ffff:ffff:ffff:ffff:ffff	0x20001325	28618	70.0	-23.547500	-46.636110	br	Linktel Telecom do Brasil Ltda
2001:12b4::/32	2001:12b4::-2001:12b4:ffff:ffff:ffff:ffff:ffff:ffff	0x2000169d	262983	70.0	-22.739170	-47.331390	br	Net Barretos Tecnologia LTDA - ME
2001:12b8::/32	2001:12b8::-2001:12b8:ffff:ffff:ffff:ffff:ffff:ffff	0x200021db	28347	70.0	-23.547500	-46.636110	br	UNOTEL PARTICIPAÇÕES S/A
2001:12bc::/32	2001:12bc::-2001:12bc:ffff:ffff:ffff:ffff:ffff:ffff	0x20002068	28625	70.0	-23.547500	-46.636110	br	Terremark do Brasil Ltda.
2001:12c0::/32	2001:12c0::-2001:12c0:ffff:ffff:ffff:ffff:ffff:ffff	0x20002065	11706	70.0	-20.763610	-41.533060	br	Terra Networks Brasil S.A.
2001:12c4::/32	2001:12c4::-2001:12c4:ffff:ffff:ffff:ffff:ffff:ffff	0x20000ff3	28262	70.0	-21.750000	-41.300000	br	INTERNEXO LTDA.
2001:12c8::/32	2001:12c8::-2001:12c8:ffff:ffff:ffff:ffff:ffff:ffff	0x200021dc	21911	70.0	-23.547500	-46.636110	br	UOL DIVEO S.A.
2001:12d0::/32	2001:12d0::-2001:12d0:ffff:ffff:ffff:ffff:ffff:ffff	0x200021cc	28571	70.0	-23.547500	-46.636110	br	UNIVERSIDADE DE SAO PAULO
2001:12d8::/32	2001:12d8::-2001:12d8:ffff:ffff:ffff:ffff:ffff:ffff	0x20000c16	1251	70.0	-23.547500	-46.636110	br	FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO
2001:12e0::/32	2001:12e0::-2001:12e0:ffff:ffff:ffff:ffff:ffff:ffff	0x20001f3f	10429	70.0	-23.547500	-46.636110	br	TELEFÔNICA BRASIL S.A
2001:12e8::/32	2001:12e8::-2001:12e8:ffff:ffff:ffff:ffff:ffff:ffff	0x20000a98	16397	70.0	-23.547500	-46.636110	br	EQUINIX BRASIL SP
2001:12f0::/32	2001:12f0::-2001:12f0:ffff:ffff:ffff:ffff:ffff:ffff	0x2000025d	1916	70.0	-22.902780	-43.207500	br	Associação Rede Nacional de Ensino e Pesquisa
2001:12f8:2::/47	2001:12f8:2::-2001:12f8:3:ffff:ffff:ffff:ffff:ffff	0x20001796	12136	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:12f8::/48	2001:12f8::-2001:12f8:0:ffff:ffff:ffff:ffff:ffff	0x20001796	26162	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:12fe::/32	2001:12fe::-2001:12fe:ffff:ffff:ffff:ffff:ffff:ffff	0x20001796	11752	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:1300::/32	2001:1300::-2001:1300:ffff:ffff:ffff:ffff:ffff:ffff	0xac00034c	0	70.0	-12.043333	-77.028333	pe	BT LATAM PERU S.A.C.
2001:1308::/32	2001:1308::-2001:1308:ffff:ffff:ffff:ffff:ffff:ffff	0x3d0007cb	0	70.0	18.500120	-69.988570	do	Compañía Dominicana de Teléfonos
2001:1310::/32	2001:1310::-2001:1310:ffff:ffff:ffff:ffff:ffff:ffff	0x2f001aff	0	70.0	-33.426280	-70.566560	cl	Red Universitaria Nacional
2001:1318::/32	2001:1318::-2001:1318:ffff:ffff:ffff:ffff:ffff:ffff	0x0d000cdd	3597	70.0	-34.613150	-58.377230	ar	Fundación InnovaT
2001:1320::/32	2001:1320::-2001:1320:ffff:ffff:ffff:ffff:ffff:ffff	0xb80006b3	0	70.0	-25.316670	-57.600000	py	Centro Nacional de Computacion
2001:1328::/32	2001:1328::-2001:1328:ffff:ffff:ffff:ffff:ffff:ffff	0xea001d2e	0	70.0	-34.833460	-56.167350	uy	Servicio Central de Informatica
2001:1330::/30	2001:1330::-2001:1333:ffff:ffff:ffff:ffff:ffff:ffff	0x330010df	11830	70.0	9.933330	-84.083330	cr	Instituto Costarricense de Electricidad y Telecom.
2001:1338::/32	2001:1338::-2001:1338:ffff:ffff:ffff:ffff:ffff:ffff	0xee000cdc	0	70.0	10.488010	-66.879190	ve	Fundación Centro Nacional de Innovación Tecnológica
2001:1340::/32	2001:1340::-2001:1340:ffff:ffff:ffff:ffff:ffff:ffff	0x34001af7	0	70.0	23.133020	-82.383040	cu	Red CENIAInternet
2001:1348::/32	2001:1348::-2001:1348:ffff:ffff:ffff:ffff:ffff:ffff	0xea00083c	0	70.0	-34.833460	-56.167350	uy	Cooperación Latino Americana de Redes Avanzadas
2001:1350::/32	2001:1350::-2001:1350:ffff:ffff:ffff:ffff:ffff:ffff	0xee00034d	0	70.0	10.488010	-66.879190	ve	BT LATAM Venezuela
2001:1358::/32	2001:1358::-2001:1358:ffff:ffff:ffff:ffff:ffff:ffff	0x34000b2c	0	70.0	23.133020	-82.383040	cu	Empresa de Telecomunicaciones de Cuba
2001:1360::/32	2001:1360::-2001:1360:ffff:ffff:ffff:ffff:ffff:ffff	0x5b0007a7	52286	70.0	14.640720	-90.513270	gt	Columbus Networks Guatemala
2001:1368::/32	2001:1368::-2001:1368:ffff:ffff:ffff:ffff:ffff:ffff	0xab002269	3551	70.0	8.483330	-81.833300	pa	Universidad Tecnologica de Panama
2001:1370::/32	2001:1370::-2001:1370:ffff:ffff:ffff:ffff:ffff:ffff	0x63001420	0	70.0	18.539170	-72.335000	ht	MULTILINK SA
2001:1378::/32	2001:1378::-2001:1378:ffff:ffff:ffff:ffff:ffff:ffff	0x1f00016a	0	70.0	-16.500000	-68.150000	bo	Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB
2001:1380::/32	2001:1380::-2001:1380:ffff:ffff:ffff:ffff:ffff:ffff	0xac0000a4	0	70.0	-12.043333	-77.028333	pe	AMERICATEL PERU S.A.
2001:1388::/32	2001:1388::-2001:1388:ffff:ffff:ffff:ffff:ffff:ffff	0xac002033	0	70.0	-12.043333	-77.028333	pe	Telefonica del Peru S.A.A.
2001:1398::/32	2001:1398::-2001:1398:ffff:ffff:ffff:ffff:ffff:ffff	0x2f001607	0	70.0	-33.426280	-70.566560	cl	NIC Chile
2001:13a8::/32	2001:13a8::-2001:13a8:ffff:ffff:ffff:ffff:ffff:ffff	0x9b002241	0	70.0	20.116970	-98.733290	mx	Universidad Autonoma del Estado de Hidalgo
2001:13b0::/29	2001:13b0::-2001:13b7:ffff:ffff:ffff:ffff:ffff:ffff	0x0d000f95	0	70.0	-34.613150	-58.377230	ar	IMPSAT FIBER NETWORKS INC
2001:13c7:6000::/48	2001:13c7:6000::-2001:13c7:6000:ffff:ffff:ffff:ffff:ffff	0x3200048c	0	70.0	4.609710	-74.081750	co	CAMARA COLOMBIANA DE INFORMATICA YTELECOMUNICACION
2001:13c7:6001::/48	2001:13c7:6001::-2001:13c7:6001:ffff:ffff:ffff:ffff:ffff	0x0d000471	0	70.0	-34.613150	-58.377230	ar	CABASE Camara Arg de Base de Datos y Serv en Linea
2001:13c7:6002::/48	2001:13c7:6002::-2001:13c7:6002:ffff:ffff:ffff:ffff:ffff	0x00000258	27974	70.0	18.026000	-63.045820	sx	Association OCIX
2001:13c7:6003::/48	2001:13c7:6003::-2001:13c7:6003:ffff:ffff:ffff:ffff:ffff	0x63000074	0	70.0	18.539170	-72.335000	ht	AHTIC
2001:13c7:6004::/47	2001:13c7:6004::-2001:13c7:6005:ffff:ffff:ffff:ffff:ffff	0x000000a7	0	70.0	12.108400	-68.933540	cw	AMS-IX Caribbean
2001:13c7:6006::/48	2001:13c7:6006::-2001:13c7:6006:ffff:ffff:ffff:ffff:ffff	0x3f000162	0	70.0	-0.229850	-78.524950	ec	Aeprovi
2001:13c7:6007::/48	2001:13c7:6007::-2001:13c7:6007:ffff:ffff:ffff:ffff:ffff	0x0d000471	0	70.0	-34.613150	-58.377230	ar	CABASE Camara Arg de Base de Datos y Serv en Linea
2001:13c7:6010::/44	2001:13c7:6010::-2001:13c7:601f:ffff:ffff:ffff:ffff:ffff	0x0d000471	0	70.0	-34.613150	-58.377230	ar	CABASE Camara Arg de Base de Datos y Serv en Linea
2001:13c7:6f00::/40	2001:13c7:6f00::-2001:13c7:6fff:ffff:ffff:ffff:ffff:ffff	0x3f000162	0	70.0	-0.229850	-78.524950	ec	Aeprovi
2001:13c7:7000::/48	2001:13c7:7000::-2001:13c7:7000:ffff:ffff:ffff:ffff:ffff	0x9b0016f8	0	70.0	25.666670	-100.316670	mx	Network Information Center México S.C.
2001:13c7:7001::/48	2001:13c7:7001::-2001:13c7:7001:ffff:ffff:ffff:ffff:ffff	0xea001260	28000	70.0	-34.833460	-56.167350	uy	LACNIC - Latin American and Caribbean IP address
2001:13c7:7004::/48	2001:13c7:7004::-2001:13c7:7004:ffff:ffff:ffff:ffff:ffff	0x33000122	0	70.0	9.933330	-84.083330	cr	Academia Nacional de Ciencias
2001:13c7:7005::/48	2001:13c7:7005::-2001:13c7:7005:ffff:ffff:ffff:ffff:ffff	0xea001131	0	70.0	-34.833460	-56.167350	uy	Internet Systems Consortium
2001:13c7:7010::/46	2001:13c7:7010::-2001:13c7:7013:ffff:ffff:ffff:ffff:ffff	0xea001260	0	70.0	-34.833460	-56.167350	uy	LACNIC - Latin American and Caribbean IP address
2001:13c7:7014::/48	2001:13c7:7014::-2001:13c7:7014:ffff:ffff:ffff:ffff:ffff	0x9b0016f8	0	70.0	25.666670	-100.316670	mx	Network Information Center México S.C.
2001:13c8::/32	2001:13c8::-2001:13c8:ffff:ffff:ffff:ffff:ffff:ffff	0x34000a77	0	70.0	23.133020	-82.383040	cu	EMPRESA DE TELECOMUNICACIONES DE CUBA S.A.
2001:13d0::/29	2001:13d0::-2001:13d7:ffff:ffff:ffff:ffff:ffff:ffff	0x0d00200c	0	70.0	-34.613150	-58.377230	ar	Telecom Argentina S.A.
2001:13d8::/33	2001:13d8::-2001:13d8:7fff:ffff:ffff:ffff:ffff:ffff	0x33001ac8	0	70.0	9.933330	-84.083330	cr	Radiográfica Costarricense S.A.
2001:13e0::/32	2001:13e0::-2001:13e0:ffff:ffff:ffff:ffff:ffff:ffff	0x3d001997	262178	70.0	18.500120	-69.988570	do	Pontificia Universidad Catolica Madre y Maestra
2001:13e8::/32	2001:13e8::-2001:13e8:ffff:ffff:ffff:ffff:ffff:ffff	0x0d00084c	0	70.0	-33.030160	-60.640450	ar	Cooperativa Telefonica de V.G.G. Ltda.
2001:13f0::/32	2001:13f0::-2001:13f0:ffff:ffff:ffff:ffff:ffff:ffff	0x3d000098	0	70.0	18.500120	-69.988570	do	ALTICE DOMINICANA S.A.
2001:13f8::/32	2001:13f8::-2001:13f8:ffff:ffff:ffff:ffff:ffff:ffff	0x32001afc	0	70.0	9.747240	-74.815300	co	Red Nacional Académica de Tecnología Avanzada - RENATA
2001:1400::/48	2001:1400::-2001:1400:0:ffff:ffff:ffff:ffff:ffff	0xc3001ecf	1881	70.0	58.416670	15.616670	se	Swedish Armed Forces
2001:1408::/48	2001:1408::-2001:1408:0:ffff:ffff:ffff:ffff:ffff	0x0f002612	20704	70.0	48.208490	16.372080	at	www.funknetz.at GmbH v6
2001:1410::/32	2001:1410::-2001:1410:ffff:ffff:ffff:ffff:ffff:ffff	0x39001133	25538	70.0	50.581820	8.299320	de	Internet Ulm/Neu-Ulm e.V.
2001:1418::/48	2001:1418::-2001:1418:0:ffff:ffff:ffff:ffff:ffff	0x6e001054	12779	70.0	45.070490	7.686820	it	IT.Gate S.p.A.
2001:1420::/48	2001:1420::-2001:1420:0:ffff:ffff:ffff:ffff:ffff	0x4d001690	8676	70.0	51.514240	-0.124710	gb	Neo-Tel Ltd
2001:1428::/32	2001:1428::-2001:1428:ffff:ffff:ffff:ffff:ffff:ffff	0xbd000a0f	0	70.0	55.752220	37.615560	ru	Dom tehniki Ltd
2001:1430::/48	2001:1430::-2001:1430:0:ffff:ffff:ffff:ffff:ffff	0x460013f9	29243	70.0	61.499110	23.787120	fi	MMD Networks Oy
2001:1438::/48	2001:1438::-2001:1438:0:ffff:ffff:ffff:ffff:ffff	0x390023b6	8881	70.0	51.514940	7.466000	de	Versatel Deutschland
2001:1440::/32	2001:1440::-2001:1440:ffff:ffff:ffff:ffff:ffff:ffff	0x39000492	8469	70.0	50.933330	6.950000	de	CANCOM Pironet AG & Co. KG
2001:1448::/32	2001:1448::-2001:1448:ffff:ffff:ffff:ffff:ffff:ffff	0x3b0016d4	16245	70.0	55.675940	12.565530	dk	Netgroup A/S
2001:1450::/64	2001:1450::-2001:1450::ffff:ffff:ffff:ffff	0x6e00120a	5602	70.0	45.464270	9.189510	it	KPNQwest Italia S.p.a. netblock
2001:1458::/31	2001:1458::-2001:1459:ffff:ffff:ffff:ffff:ffff:ffff	0x2c0004d0	513	70.0	46.202220	6.145690	ch	CERN - European Organization for Nuclear Research
2001:1460::/64	2001:1460::-2001:1460::ffff:ffff:ffff:ffff	0xa40010f0	24587	70.0	52.380840	4.636830	nl	Integrated Internet Services B.V.
2001:1468::/33	2001:1468::-2001:1468:7fff:ffff:ffff:ffff:ffff:ffff	0x380025f8	30738	70.0	50.088040	14.420760	cz	route object
2001:1470::/29	2001:1470::-2001:1477:ffff:ffff:ffff:ffff:ffff:ffff	0xc60000cd	2107	70.0	46.506900	16.015700	si	ARNES
2001:1478::/48	2001:1478::-2001:1478:0:ffff:ffff:ffff:ffff:ffff	0x38001138	8928	70.0	50.088040	14.420760	cz	Interoute Communications Ltd
2001:1488::/48	2001:1488::-2001:1488:0:ffff:ffff:ffff:ffff:ffff	0x3800061a	25192	70.0	50.088040	14.420760	cz	CZ.NIC
2001:1490::/48	2001:1490::-2001:1490:0:ffff:ffff:ffff:ffff:ffff	0xbf001cd3	8895	70.0	30.499870	38.216030	sa	Saudi Arabia Backbone and Local Registry Address Space
2001:1498::/32	2001:1498::-2001:1498:ffff:ffff:ffff:ffff:ffff:ffff	0x4300202b	12956	70.0	36.742310	-5.167090	es	Telefonica International Wholesale Services II
2001:14a0::/32	2001:14a0::-2001:14a0:ffff:ffff:ffff:ffff:ffff:ffff	0xa4001209	15879	70.0	52.505000	4.959720	nl	KPN Internedservices B.V.
2001:14a8::/32	2001:14a8::-2001:14a8:ffff:ffff:ffff:ffff:ffff:ffff	0x2c0025e7	15547	70.0	46.281030	7.542880	ch	netplus.ch SA
2001:14b0::/32	2001:14b0::-2001:14b0:ffff:ffff:ffff:ffff:ffff:ffff	0x39001275	12374	70.0	48.782320	9.177020	de	LF.net Netzwerksysteme GmbH
2001:14b8::/48	2001:14b8::-2001:14b8:0:ffff:ffff:ffff:ffff:ffff	0x46000928	16086	70.0	60.403380	25.105000	fi	DNA Oy
2001:14c0::/33	2001:14c0::-2001:14c0:7fff:ffff:ffff:ffff:ffff:ffff	0x39000945	8520	70.0	50.078540	8.475520	de	DUNKEL-IPv6
2001:14c8::/32	2001:14c8::-2001:14c8:ffff:ffff:ffff:ffff:ffff:ffff	0x4b00006c	16128	70.0	48.900000	2.333330	fr	AGARIK SA
2001:14d0::/64	2001:14d0::-2001:14d0::ffff:ffff:ffff:ffff	0x3b000956	15516	70.0	55.395940	10.388310	dk	Dansk Kabel TV A/S
2001:14d8::/48	2001:14d8::-2001:14d8:0:ffff:ffff:ffff:ffff:ffff	0x390025a0	12371	70.0	51.979950	7.782930	de	avency GmbH
2001:14e0::/48	2001:14e0::-2001:14e0:0:ffff:ffff:ffff:ffff:ffff	0x39000f75	12931	70.0	47.726740	10.313890	de	IDKOM Networks GmbH
2001:14e8::/48	2001:14e8::-2001:14e8:0:ffff:ffff:ffff:ffff:ffff	0x6c00115a	0	70.0	35.952100	50.607500	ir	Iranet ipv6 Assignment
2001:14f0::/48	2001:14f0::-2001:14f0:0:ffff:ffff:ffff:ffff:ffff	0x39000eb1	12355	70.0	51.600160	7.776150	de	HeLiNET Telekommunikation
2001:1500::/32	2001:1500::-2001:1500:ffff:ffff:ffff:ffff:ffff:ffff	0x6c001d4d	12660	70.0	35.952100	50.607500	ir	Sharif University Of Technology
2001:1508::/32	2001:1508::-2001:1508:ffff:ffff:ffff:ffff:ffff:ffff	0x380009d0	29208	70.0	50.088040	14.420760	cz	Dial Telecom
2001:1510::/48	2001:1510::-2001:1510:0:ffff:ffff:ffff:ffff:ffff	0x4d000d50	20500	70.0	51.508530	-0.125740	gb	GRIFFIN-V6
2001:1520::/57	2001:1520::-2001:1520:0:7f:ffff:ffff:ffff:ffff	0x39002496	34289	70.0	50.933330	6.950000	de	WebArt Internet Services GmbH und Co. KG
2001:1528::/48	2001:1528::-2001:1528:0:ffff:ffff:ffff:ffff:ffff	0x38000681	15685	70.0	50.088040	14.420760	cz	Casablanca INT v6 network
2001:1530::/44	2001:1530::-2001:1530:f:ffff:ffff:ffff:ffff:ffff	0x400021a1	2586	70.0	59.436960	24.753530	ee	UNINET
2001:1538::/32	2001:1538::-2001:1538:ffff:ffff:ffff:ffff:ffff:ffff	0x4b0002a8	16363	70.0	48.896720	2.256660	fr	Axialys SA
2001:1540::/48	2001:1540::-2001:1540:0:ffff:ffff:ffff:ffff:ffff	0xa40023df	16243	70.0	52.218330	6.895830	nl	Virtu IPV6 network
2001:1548::/48	2001:1548::-2001:1548:0:ffff:ffff:ffff:ffff:ffff	0x59001c8d	8280	70.0	37.979450	23.716220	gr	SYNAPSECOM S.A.
2001:1558::/48	2001:1558::-2001:1558:0:ffff:ffff:ffff:ffff:ffff	0x2c0025ab	0	70.0	47.366670	8.550000	ch	dataway GmbH
2001:1560::/29	2001:1560::-2001:1567:ffff:ffff:ffff:ffff:ffff:ffff	0x39001102	34171	70.0	52.524370	13.410530	de	Inter.Net Germany
2001:1568::/48	2001:1568::-2001:1568:0:ffff:ffff:ffff:ffff:ffff	0x38002495	39790	70.0	50.088040	14.420760	cz	Web4U
2001:1578::/48	2001:1578::-2001:1578:0:ffff:ffff:ffff:ffff:ffff	0x39000390	12657	70.0	48.137430	11.575490	de	BayCIX GmbH
2001:1580::/48	2001:1580::-2001:1580:0:ffff:ffff:ffff:ffff:ffff	0x3b002040	9158	70.0	56.090100	10.119370	dk	Telenor Denmark
2001:1588::/29	2001:1588::-2001:158f:ffff:ffff:ffff:ffff:ffff:ffff	0xb6001628	12542	70.0	38.716670	-9.133330	pt	NOS COMUNICACOES
2001:1590::/48	2001:1590::-2001:1590:0:ffff:ffff:ffff:ffff:ffff	0xc600154d	197806	70.0	46.506900	16.015700	si	Monotek network
2001:1598::/48	2001:1598::-2001:1598:0:ffff:ffff:ffff:ffff:ffff	0x17000ad8	28747	70.0	50.850450	4.348780	be	Easyhost BVBA
2001:15a8::/32	2001:15a8::-2001:15a8:ffff:ffff:ffff:ffff:ffff:ffff	0x6e0025d8	29449	70.0	42.854830	13.574900	it	ip telecom srl
2001:15b0::/32	2001:15b0::-2001:15b0:ffff:ffff:ffff:ffff:ffff:ffff	0xa40010a8	21221	70.0	51.922500	4.479170	nl	InfoPact Netwerkdiensten B.V.
2001:15b8::/32	2001:15b8::-2001:15b8:ffff:ffff:ffff:ffff:ffff:ffff	0xa4000d89	24730	70.0	51.998330	5.676390	nl	GarnierProjects BV
2001:15c0::/48	2001:15c0::-2001:15c0:0:ffff:ffff:ffff:ffff:ffff	0xc6000031	8591	70.0	46.506900	16.015700	si	A1 Slovenija
2001:15c8::/32	2001:15c8::-2001:15c8:ffff:ffff:ffff:ffff:ffff:ffff	0xa4002492	20495	70.0	51.922500	4.479170	nl	We Dare B.V.
2001:15d8::/29	2001:15d8::-2001:15df:ffff:ffff:ffff:ffff:ffff:ffff	0xb60013ba	8657	70.0	38.716670	-9.133330	pt	MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
2001:15e0::/48	2001:15e0::-2001:15e0:0:ffff:ffff:ffff:ffff:ffff	0x4d0011f2	8897	70.0	51.508530	-0.125740	gb	KCOM-SPN-INFRASTRUCTURE
2001:15e8::/29	2001:15e8::-2001:15ef:ffff:ffff:ffff:ffff:ffff:ffff	0x38000fea	24806	70.0	48.994790	14.149800	cz	INTERNET CZ
2001:15f0::/32	2001:15f0::-2001:15f0:ffff:ffff:ffff:ffff:ffff:ffff	0x390008ef	29083	70.0	52.360170	13.409540	de	DE-HOST01-20031016
2001:15f8::/48	2001:15f8::-2001:15f8:0:ffff:ffff:ffff:ffff:ffff	0x3b000927	25384	70.0	55.723660	12.439980	dk	DMdata CBB
2001:1600::/48	2001:1600::-2001:1600:0:ffff:ffff:ffff:ffff:ffff	0x2c0010b3	29222	70.0	46.948090	7.447440	ch	Infomaniak Network SA
